"Pangaea_DOI","CSC flag","len"
"PANGAEA.825092","[15]","1"
"PANGAEA.847833","[24]","1"
"PANGAEA.824408","[26]","1"
"PANGAEA.948335","[8]","1"
"PANGAEA.880156","[8]","1"
"PANGAEA.771573","[8]","1"
"PANGAEA.733940","[15]","1"
"PANGAEA.726856","[8]","1"
"PANGAEA.875042","[8]","1"
"PANGAEA.846875","[8]","1"
"PANGAEA.823445","[26]","1"
"PANGAEA.837325","[24]","1"
"PANGAEA.930799","[8]","1"
"PANGAEA.875891","[15]","1"
"PANGAEA.837671","[8]","1"
"PANGAEA.763297","[15]","1"
"PANGAEA.836066","[8]","1"
"PANGAEA.944403","[9]","1"
"PANGAEA.876121","[9]","1"
"PANGAEA.939815","[8]","1"
"PANGAEA.924918","[8]","1"
"PANGAEA.910338","[8]","1"
"PANGAEA.834091","[9]","1"
"PANGAEA.847228","[27]","1"
"PANGAEA.778439","[26, 15]","2"
"PANGAEA.869417","[15]","1"
"PANGAEA.938216","[26]","1"
"PANGAEA.949389","[9]","1"
"PANGAEA.833402","[8]","1"
"PANGAEA.834573","[9]","1"
"PANGAEA.779704","[26]","1"
"PANGAEA.835967","[8]","1"
"PANGAEA.867268","[8]","1"
"PANGAEA.831428","[9]","1"
"PANGAEA.944362","[9]","1"
"PANGAEA.908818","[15]","1"
"PANGAEA.891261","[8]","1"
